Position,Name,Type,Question,Description,FrequencyNumerator,FrequencyDenominator,Color,Unit,Target Type,Target Value,Archived?
001,Milk,YES_NO,,,1,1,#388E3C,,,,true
002,Sweet breakfast,YES_NO,,,3,7,#D32F2F,,,,true
003,Savory breakfast,YES_NO,,,4,7,#388E3C,,,,true
004,Red meat,YES_NO,"Bistecca, hamburger di qualità",,1,7,#D32F2F,,,,true
005,White meat,YES_NO,"Pollo, coniglio, tacchino, lonza di maiale, vitello",,2,7,#F57C00,,,,true
006,Fish,YES_NO,,,3,7,#388E3C,,,,true
007,Vegetables,YES_NO,,,1,1,#388E3C,,,,true
008,Eggs,YES_NO,,,3,7,#F57C00,,,,true
009,Avocado,YES_NO,,,1,7,#388E3C,,,,true
010,Dairy without lactose,YES_NO,"Yogurt, kefir, caprino, formaggio duro, gorgonzola, asiago",,5,7,#388E3C,,,,true
011,Dairy with lactose,YES_NO,"Mozzarella, formaggio morbido, ricotta, fiocchi di latte",,2,30,#D32F2F,,,,true
012,Sweets,YES_NO,,,2,7,#D32F2F,,,,true
013,Wine,YES_NO,,,2,7,#F57C00,,,,false
014,Beer,YES_NO,,,1,7,#D32F2F,,,,false
015,Liquor,YES_NO,,,1,7,#D32F2F,,,,false
016,Pizza,YES_NO,,,1,7,#D32F2F,,,,true
017,Fast food,YES_NO,,,1,30,#D32F2F,,,,false
018,Fasting,YES_NO,,,1,1,#388E3C,,,,false
019,Sport,YES_NO,,,5,7,#388E3C,,,,false
020,Multivitamins,YES_NO,,,1,3,#00897B,,,,false
021,D 4000,YES_NO,,,1,1,#00897B,,,,false
022,C 1000,YES_NO,,,1,1,#00897B,,,,true
023,K,YES_NO,,,1,7,#00897B,,,,false
024,Zinco,YES_NO,,,2,7,#00897B,,,,false
025,B,YES_NO,,,3,7,#00897B,,,,true
026,Iron,YES_NO,,,1,1,#00897B,,,,false
027,Acido folico,YES_NO,,,1,1,#00897B,,,,false
028,Sideral Forte,YES_NO,,,1,1,#00897B,,,,false
029,Sideral Folic,YES_NO,,,1,1,#00897B,,,,false
030,Briovitase,YES_NO,,,1,1,#00897B,,,,false
031,BeTotal,YES_NO,,,1,1,#00897B,,,,false
032,Carnidyn Fast,YES_NO,,,1,1,#00897B,,,,false
033,Equilibra sostegno forte,YES_NO,,,1,1,#00897B,,,,false
034,Magnesium,YES_NO,,,1,1,#00897B,,,,false
035,Magnesio supremo,YES_NO,,,3,7,#00897B,,,,false
036,Omega 3,YES_NO,,,1,3,#00897B,,,,false
037,Armolipid plus,YES_NO,,,1,1,#00897B,,,,false
038,Polase,YES_NO,,,3,7,#00897B,,,,false
039,Electrolytes,YES_NO,When I take electrolytes during sport,,3,7,#00897B,,,,false
040,Proteins,YES_NO,,,3,7,#00897B,,,,false
041,Creatine,YES_NO,,,2,7,#00897B,,,,true
042,Glutamine,YES_NO,,,1,1,#00897B,,,,false
043,Sale rosa,YES_NO,,,1,1,#00897B,,,,false
044,Psillio,YES_NO,,,1,1,#00897B,,,,false
045,Taurina,YES_NO,,,1,1,#00897B,,,,true
046,Bioritmon,YES_NO,,,1,1,#00897B,,,,true
047,Codex,YES_NO,,,1,7,#00897B,,,,false
048,Ezerex,YES_NO,,,2,7,#00897B,,,,true
049,Sweat deo,YES_NO,,,1,7,#00897B,,,,true
050,Psicobrain morning,YES_NO,,,1,1,#00897B,,,,true
051,Psicobrain evening,YES_NO,,,1,1,#00897B,,,,true
052,Ashwagandha,YES_NO,,,1,1,#00897B,,,,true
053,Soft,YES_NO,,,1,30,#5D4037,,,,false
054,Hard,YES_NO,,,1,1,#5D4037,,,,true
055,Rap,YES_NO,,,3,7,#1976D2,,,,false
056,MME,YES_NO,,,1,1,#1976D2,,,,false
057,ED,YES_NO,,,1,60,#D32F2F,,,,false
058,Cold shower,YES_NO,,,2,7,#1976D2,,,,false
059,Hot shower,YES_NO,,,1,1,#1976D2,,,,true
060,Well being,NUMERICAL,How was your day?,,1,1,#388E3C,1->10,AT_LEAST,7.0,true
061,Good sleep,YES_NO,Did you sleep well last night?,,1,1,#388E3C,,,,false
062,Meditation,YES_NO,,"Meditation, but also pausing and letting my head go, with no stimulus",1,1,#388E3C,,,,false
063,Belly breathing,YES_NO,,,1,1,#388E3C,,,,false
064,Temperature,NUMERICAL,,,1,1,#1976D2,Celsius,AT_MOST,20.0,true
065,Sweat problems,YES_NO,,,1,30,#F9A825,,,,false
066,Sickness,YES_NO,"Every time I don't feel good and I have to cancel plans. Every time I don't have a good diet, I don't feel like cooking.",,1,30,#D32F2F,,,,false
067,Bad sleep,YES_NO,Every time I have trouble falling asleep or staying asleep. Every time I wake up and don't feel rested.,,2,30,#D32F2F,,,,false
068,Anxiety,YES_NO,,,1,30,#D32F2F,,,,false
069,Mental fog,YES_NO,"Difficult to focus, low motivation, low concentration",,1,30,#D32F2F,,,,false
070,Pessimism,YES_NO,,,1,30,#D32F2F,,,,false
071,Anger,YES_NO,,,1,30,#D32F2F,,,,false
072,Rumination,YES_NO,,,1,30,#D32F2F,,,,false
